,mmlu/abstract_algebra,mmlu/anatomy,mmlu/astronomy,mmlu/business_ethics,mmlu/clinical_knowledge,mmlu/college_biology,mmlu/college_chemistry,mmlu/college_computer_science,mmlu/college_mathematics,mmlu/college_medicine,mmlu/college_physics,mmlu/computer_security,mmlu/conceptual_physics,mmlu/econometrics,mmlu/electrical_engineering,mmlu/elementary_mathematics,mmlu/formal_logic,mmlu/global_facts,mmlu/high_school_biology,mmlu/high_school_chemistry,mmlu/high_school_computer_science,mmlu/high_school_european_history,mmlu/high_school_geography,mmlu/high_school_government_and_politics,mmlu/high_school_macroeconomics,mmlu/high_school_mathematics,mmlu/high_school_microeconomics,mmlu/high_school_physics,mmlu/high_school_psychology,mmlu/high_school_statistics,mmlu/high_school_us_history,mmlu/high_school_world_history,mmlu/human_aging,mmlu/human_sexuality,mmlu/international_law,mmlu/jurisprudence,mmlu/logical_fallacies,mmlu/machine_learning,mmlu/management,mmlu/marketing,mmlu/medical_genetics,mmlu/miscellaneous,mmlu/moral_disputes,mmlu/moral_scenarios,mmlu/nutrition,mmlu/philosophy,mmlu/prehistory,mmlu/professional_accounting,mmlu/professional_law,mmlu/professional_medicine,mmlu/professional_psychology,mmlu/public_relations,mmlu/security_studies,mmlu/sociology,mmlu/us_foreign_policy,mmlu/virology,mmlu/world_religions,open_llm/IFEval,open_llm/BBH,open_llm/MATH_Lvl5,open_llm/GPQA,open_llm/MUSR,open_llm/MMLU-PRO,helm/GSM8K,helm/LegalBench,helm/MATH,helm/MMLU,helm/Mean win rate,helm/MedQA,helm/NarrativeQA,helm/NaturalQuestions (closed-book),helm/NaturalQuestions (open-book),helm/OpenbookQA,helm/WMT 2014,alpaca_eval/win_rate,alpaca_eval/discrete_win_rate,alpaca_eval/length_controlled_winrate,arena_hard/score,livebench/coding,livebench/instruction_following,livebench/language,wildbench/Advice seeking,wildbench/Brainstorming,wildbench/Coding & Debugging,wildbench/Creative Writing,wildbench/Data Analysis,wildbench/Editing,wildbench/Information seeking,wildbench/Math,wildbench/Planning,wildbench/Reasoning,wildbench/Role playing,mt_bench/coding,mt_bench/extraction,mt_bench/humanities,mt_bench/math,mt_bench/reasoning,mt_bench/roleplay,mt_bench/stem,mt_bench/writing,bigcode/Computation_complete,bigcode/Computation_instruct,bigcode/Cryptography_complete,bigcode/Cryptography_instruct,bigcode/General_complete,bigcode/General_instruct,bigcode/Network_complete,bigcode/Network_instruct,bigcode/System_complete,bigcode/System_instruct,bigcode/Time_complete,bigcode/Time_instruct,bigcode/Visualization_complete,bigcode/Visualization_instruct
Claude-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.784,0.629311936712158,0.5404430376278602,0.6310526315789474,0.7241379310344828,0.6182902584493042,0.723150787350498,0.4088508216950394,0.6992205134559425,0.908,0.2185286217669808,16.98534361236025,16.024844720496894,27.289504443727107,,,,,,,,,,,,,,,,6.25,8.8,9.7,4.8,5.95,8.5,9.7,9.5,,,,,,,,,,,,,,
Cohere-Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452,0.5775312900780561,0.2359498178959623,0.525157894736842,0.4620689655172413,0.4453280318091451,0.748757488257181,0.391113841047464,0.7768791442376555,0.774,0.0881786096035731,12.901455209677016,11.925465838509316,10.893020886573929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
command-r,0.39,0.6296296296296297,0.7631578947368421,0.75,0.7509433962264151,0.7777777777777778,0.48,0.63,0.31,0.6589595375722543,0.4019607843137255,0.78,0.6042553191489362,0.5614035087719298,0.5793103448275863,0.4656084656084656,0.4603174603174603,0.46,0.7741935483870968,0.5270935960591133,0.73,0.8121212121212121,0.8181818181818182,0.911917098445596,0.6615384615384615,0.3185185185185185,0.7226890756302521,0.3841059602649007,0.8440366972477065,0.5694444444444444,0.8382352941176471,0.869198312236287,0.7757847533632287,0.8244274809160306,0.859504132231405,0.8518518518518519,0.8404907975460123,0.4732142857142857,0.7961165048543689,0.905982905982906,0.79,0.859514687100894,0.7196531791907514,0.5720670391061452,0.7222222222222222,0.7491961414790996,0.7808641975308642,0.5390070921985816,0.5508474576271186,0.6838235294117647,0.7238562091503268,0.7363636363636363,0.763265306122449,0.8805970149253731,0.86,0.5301204819277109,0.847953216374269,0.6266173752310537,0.5351501475438292,0.0347432024169184,0.3070469798657718,0.451058201058201,0.3369348404255319,,,,,,,,,,,,,,,17.02,,,,52.941176470588246,52.38095238095237,19.33962264150944,48.38174273858922,26.81481481481482,42.58064516129032,41.957186544342505,1.481481481481488,41.18959107806692,32.44618395303327,48.33333333333334,,,,,,,,,,,,,,,,,,,,,,
command-r-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7153419593345656,0.5948620031244576,0.1238670694864048,0.3506711409395973,0.4828042328042328,0.4420711436170212,,,,,,,,,,,,,,,,0.1875,0.6286184210526315,0.226138148380148,,,,,,,,,,,,,,,,,,,,45.6,36.4,45.5,43.4,45.9,39.8,25.7,18.6,44.1,37.8,37.5,30.9,37.8,28.2
command-r-plus,0.44,0.7481481481481481,0.8486842105263158,0.79,0.769811320754717,0.8611111111111112,0.49,0.61,0.39,0.7398843930635838,0.5098039215686274,0.84,0.7191489361702128,0.6052631578947368,0.7241379310344828,0.5661375661375662,0.5634920634920635,0.6,0.8258064516129032,0.6403940886699507,0.81,0.8606060606060606,0.9090909090909092,0.9378238341968912,0.7128205128205128,0.3888888888888889,0.7983193277310925,0.5099337748344371,0.906422018348624,0.625,0.8970588235294118,0.9071729957805909,0.820627802690583,0.8473282442748091,0.9008264462809916,0.8425925925925926,0.8404907975460123,0.5178571428571429,0.8543689320388349,0.9017094017094016,0.83,0.879948914431673,0.7745664739884393,0.6312849162011173,0.7973856209150327,0.77491961414791,0.8611111111111112,0.5780141843971631,0.590612777053455,0.75,0.7973856209150327,0.7909090909090909,0.8244897959183674,0.8855721393034826,0.92,0.5542168674698795,0.8830409356725146,0.7282809611829945,0.5813226870335011,0.080060422960725,0.3053691275167785,0.4801587301587302,0.3991855053191489,,,,,,,,,,,,,,,33.07,,,,53.94957983193278,55.95238095238095,28.436018957345972,52.94605809128632,34.518518518518526,49.677419354838705,48.19571865443425,10.864197530864192,48.17843866171003,39.80353634577604,52.14285714285714,,,,,,,,,41.2,32.3,48.5,37.4,41.1,36.1,26.4,12.1,39.9,35.7,37.5,30.1,38.1,30.2
dbrx-instruct,0.39,0.6814814814814815,0.8355263157894737,0.76,0.8,0.875,0.55,0.61,0.43,0.7630057803468208,0.4607843137254901,0.86,0.7446808510638298,0.6052631578947368,0.7379310344827587,0.5370370370370371,0.5,0.42,0.8548387096774194,0.6059113300492611,0.82,0.8545454545454545,0.8787878787878788,0.9585492227979274,0.764102564102564,0.4296296296296296,0.819327731092437,0.4768211920529801,0.8990825688073395,0.6574074074074074,0.8970588235294118,0.8987341772151899,0.7937219730941704,0.9083969465648856,0.8842975206611571,0.8333333333333334,0.7975460122699386,0.6428571428571429,0.8252427184466019,0.9401709401709402,0.86,0.9195402298850576,0.8005780346820809,0.48268156424581,0.8169934640522876,0.8038585209003215,0.845679012345679,0.5319148936170213,0.5821382007822686,0.8345588235294118,0.7924836601307189,0.7181818181818181,0.7877551020408163,0.9054726368159204,0.91,0.5602409638554217,0.8654970760233918,0.4824399260628466,0.5412254816872071,0.0687311178247734,0.3414429530201342,0.4259259259259259,0.3682679521276595,,,,,,,,,,,,18.44834898407453,18.633540372670808,25.37544974044448,,,,,45.882352941176464,42.38095238095237,26.44549763033176,40.995850622406635,33.777777777777786,39.35483870967742,40.0,13.580246913580254,40.66914498141264,35.05882352941177,41.9047619047619,,,,,,,,,,,,,,,,,,,,,,
deepseek-coder-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,,,,57.310924369747895,57.61904761904763,44.85714285714286,54.75,48.88888888888889,49.75609756097562,50.338461538461544,34.03726708074535,51.76029962546817,48.58267716535433,57.59036144578314,,,,,,,,,,,,,,,,,,,,,,
deepseek-coder-v2-lite-instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2578125,0.5576923076923077,0.1058019323478396,,,,,,,,,,,,,,,,,,,,47.3,34.9,52.5,46.5,50.4,39.5,26.4,20.0,43.9,36.7,37.5,30.9,43.9,33.0
deepseek-r1-distill-llama-70b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3659889094269871,0.562228779725742,0.3074018126888218,0.2651006711409396,0.4325396825396825,0.4748171542553192,,,,,,,,,,,,,,,,0.5546875,0.7021666666666667,0.2945005461329832,,,,,,,,,,,,,,,,,,,,50.5,31.8,57.6,29.3,53.1,38.2,25.7,21.4,43.2,36.4,32.4,27.2,45.7,29.7
deepseek-r1-distill-qwen-32b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3456561922365989,0.4176358271133484,0.1706948640483383,0.2843959731543624,0.451058201058201,0.4686668882978723,,,,,,,,,,,,,,,,0.3828125,0.3481666666666666,0.2692484992643352,,,,,,,,,,,,,,,,,,,,54.9,42.8,61.6,47.5,58.6,49.5,32.1,27.1,47.0,38.8,41.9,30.1,54.1,39.1
DeepSeek-V2-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.288135593220346,55.71428571428571,44.43396226415095,53.692946058091295,48.74074074074073,49.677419354838705,50.76452599388379,39.62962962962963,50.223880597014926,50.90196078431372,55.71428571428571,,,,,,,,,49.2,40.6,47.5,40.4,51.5,43.1,22.1,22.9,45.1,39.2,41.9,30.1,46.7,36.8
DeepSeek-V2-Chat-0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.31932773109244,58.57142857142858,55.0,57.59336099585063,52.592592592592595,51.935483870967744,51.62079510703364,48.39506172839506,55.61338289962825,54.44227005870842,55.95238095238095,,,,,,,,,62.0,49.2,60.6,49.5,62.5,52.2,30.7,27.1,50.5,44.1,49.3,41.9,58.6,46.4
deepseek-v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6171875,0.7551666666666667,0.4656432815894652,,,,,,,,,,,,,,,,,,,,63.8,50.7,64.6,56.6,64.4,52.7,37.1,27.1,55.2,46.3,56.6,39.7,59.6,45.4
falcon-40b,0.34,0.5333333333333333,0.5723684210526315,0.54,0.6075471698113207,0.6666666666666666,0.45,0.5,0.39,0.5202312138728323,0.2745098039215686,0.63,0.4127659574468085,0.3333333333333333,0.5310344827586206,0.3386243386243386,0.3015873015873015,0.32,0.6709677419354839,0.4433497536945813,0.62,0.696969696969697,0.7424242424242424,0.772020725388601,0.5538461538461539,0.3148148148148148,0.5546218487394958,0.3178807947019867,0.7761467889908257,0.4768518518518518,0.7156862745098039,0.7130801687763713,0.7354260089686099,0.7251908396946565,0.6528925619834711,0.6944444444444444,0.656441717791411,0.2946428571428571,0.7864077669902912,0.7905982905982906,0.66,0.7586206896551724,0.6271676300578035,0.2703910614525139,0.673202614379085,0.6688102893890675,0.6327160493827161,0.4361702127659574,0.4315514993481095,0.6102941176470589,0.565359477124183,0.6272727272727273,0.6612244897959184,0.7960199004975125,0.81,0.4759036144578313,0.8070175438596491,0.1959334565619223,0.4034021871202916,0.0196374622356495,0.25,0.3756613756613756,0.2261469414893617,0.267,0.4418339946791853,0.1276233467787935,0.5069122807017543,0.3241379310344827,0.4194831013916501,0.6705103367078968,0.3923834676614151,0.6764905578489675,0.662,0.1618703840158968,3.3429188224720505,3.416149068322982,5.6075325447394455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
falcon-7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1515711645101663,0.3185210900885263,0.0120845921450151,0.24748322147651,0.3624338624338624,0.1155252659574468,0.055,0.346112465866886,0.0437872907273152,0.288140350877193,0.0551724137931034,0.2544731610337972,0.6210887417964561,0.2851947987098367,0.5804092414377209,0.26,0.0941009528405081,2.146617553167702,2.111801242236025,4.036937566812824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemini-1.5-Flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34375,0.6072368421052632,0.2785257446102188,53.39130434782609,52.75,48.72549019607844,51.210762331838566,50.6766917293233,50.67796610169491,47.261146496815286,40.50000000000001,52.09302325581396,50.71999999999999,52.10526315789474,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-flash-api-0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.61,,,,,,,,,,,,,,,,,,,,,,,56.8,43.1,55.6,49.5,56.7,46.9,25.0,16.4,50.0,43.5,47.8,35.3,52.0,39.8
Gemini-1.5-Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328125,0.6698464912280702,0.3472049041230525,56.28318584070797,56.58536585365853,55.223880597014926,56.0,50.8955223880597,52.41379310344827,51.069182389937104,44.25000000000001,55.44401544401545,52.82868525896415,55.58441558441558,,,,,,,,,,,,,,,,,,,,,,
gemini-1.5-pro-api-0514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.96,,,,,,,,,,,,,,,,,,,,,,,58.6,43.8,65.7,49.5,58.2,45.9,34.3,21.4,50.2,40.4,50.0,35.3,56.1,40.6
gemini-2.0-flash-exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53125,0.805,0.4303676593664119,,,,,,,,,,,,,,,,,,,,62.8,48.3,49.5,45.5,63.5,49.1,29.3,21.4,48.8,35.1,52.2,33.1,58.9,45.9
gemini-exp-1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5076923076923077,0.818640350877193,0.4099619335607232,,,,,,,,,,,,,,,,,,,,62.1,51.4,53.5,56.6,61.5,50.8,25.7,18.6,51.4,44.2,50.7,37.5,58.1,46.7
gemini-exp-1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4923076923076923,0.8461622807017545,0.3883822356584429,,,,,,,,,,,,,,,,,,,,62.0,47.4,54.5,48.5,59.9,48.5,22.1,15.7,46.0,38.3,48.5,33.1,60.2,45.7
gemini-exp-1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6328125,0.8320000000000001,0.5519201791150496,,,,,,,,,,,,,,,,,,,,64.9,47.7,51.5,44.4,65.2,49.1,31.4,30.0,54.9,43.5,55.1,36.0,62.2,45.2
gemini-pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.177644540571432,17.080745341614907,24.38177610802152,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemma-1.1-7b-it,0.31,0.5185185185185185,0.6776315789473685,0.6,0.6377358490566037,0.6805555555555556,0.42,0.48,0.37,0.6011560693641619,0.3627450980392157,0.71,0.5659574468085107,0.4298245614035088,0.593103448275862,0.4656084656084656,0.4285714285714285,0.35,0.7451612903225806,0.5517241379310345,0.68,0.696969696969697,0.7575757575757576,0.844559585492228,0.6205128205128205,0.4185185185185185,0.6890756302521008,0.3245033112582781,0.8110091743119267,0.4583333333333333,0.7598039215686274,0.7510548523206751,0.7085201793721974,0.6870229007633588,0.8016528925619835,0.75,0.7484662576687117,0.4821428571428571,0.7669902912621359,0.8461538461538461,0.64,0.7675606641123882,0.6416184971098265,0.2312849162011173,0.6830065359477124,0.6559485530546624,0.6358024691358025,0.4716312056737589,0.4419817470664928,0.5183823529411765,0.5996732026143791,0.7363636363636363,0.726530612244898,0.8159203980099502,0.76,0.5060240963855421,0.7894736842105263,0.4454713493530499,0.3903836139559104,0.0490936555891238,0.2936241610738255,0.421957671957672,0.2583942819148936,,,,,,,,,,,,,,,12.09,0.1171875,0.5336538461538461,0.1049536754811417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gemma-2-27b-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7634011090573013,0.6422496094428051,0.2386706948640483,0.375,0.4021164021164021,0.4451462765957447,,,,,,,,,,,,,,,57.51,0.359375,0.6881578947368421,0.3404192708263708,54.6218487394958,54.28571428571429,47.01421800947868,53.44398340248963,48.57142857142858,49.91869918699187,49.23547400611621,38.88198757763975,50.92936802973977,51.080550098231825,52.38095238095237,,,,,,,,,54.5,43.3,55.6,40.4,53.1,45.2,26.4,20.0,48.6,41.4,45.6,36.8,47.7,39.1
gemma-2-9b-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7005545286506469,0.597986460683909,0.1948640483383685,0.360738255033557,0.4060846560846561,0.3875498670212766,,,,,,,,,,,,,,,,0.234375,0.5662280701754385,0.2505468781177105,53.44537815126051,51.66666666666666,36.66666666666666,51.53526970954356,42.66666666666667,44.516129032258064,47.52293577981652,28.641975308641975,48.656716417910445,46.16895874263261,53.33333333333334,,,,,,,,,43.3,34.4,38.4,39.4,41.0,38.0,15.7,12.1,35.7,29.9,26.5,25.0,35.8,30.7
gemma-2-9b-it-DPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2587800369685767,0.5932997743447318,0.0830815709969788,0.3355704697986577,0.3809523809523809,0.3723404255319149,,,,,,,,,,,,65.35922380122982,66.64596273291924,67.6620382198043,,,,,62.85714285714285,63.33333333333332,50.52132701421801,59.41908713692946,53.98496240601503,53.33333333333334,56.94189602446484,40.62111801242237,58.81040892193308,54.106090373280935,57.61904761904763,,,,,,,,,,,,,,,,,,,,,,
gemma-2-9b-it-SimPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3068391866913124,0.583232077764277,0.0709969788519637,0.3355704697986577,0.4113756613756614,0.3975232712765957,,,,,,,,,,,,65.86422561532919,67.14285714285714,72.3508446939842,,,,,62.35294117647058,62.14285714285715,50.857142857142854,58.755186721991706,55.90909090909092,52.357723577235774,55.10703363914374,42.60869565217391,59.47955390334572,54.33070866141732,57.38095238095237,,,,,,,,,,,,,,,,,,,,,,
