model,Advice seeking,Brainstorming,Coding & Debugging,Creative Writing,Data Analysis,Editing,Information seeking,Math,Planning,Reasoning,Role playing
Mistral-7B-Instruct-v0.2,48.57142857142858,44.28571428571429,18.396226415094343,42.65560165975104,23.703703703703702,36.09756097560975,37.66871165644172,-5.061728395061724,36.95167286245352,28.039215686274517,41.9047619047619
Mistral-Large-2,61.5126050420168,63.0952380952381,53.83886255924171,58.34024896265561,55.522388059701484,54.79674796747968,56.391437308868504,48.69565217391305,57.4721189591078,57.33333333333333,58.57142857142858
Mistral-Nemo-Instruct-2407,57.47899159663865,56.42857142857142,39.71563981042655,53.443983402489636,45.77777777777777,50.96774193548388,50.76452599388379,25.18518518518519,51.449814126394045,46.06653620352251,53.0952380952381
Mixtral-8x7B-Instruct-v0.1,46.05042016806722,46.50602409638553,25.023696682464447,43.41666666666667,32.8888888888889,38.69918699186991,41.41104294478527,11.604938271604937,36.72862453531599,33.88560157790927,40.71428571428571
Nous-Hermes-2-Mixtral-8x7B-DPO,47.058823529411754,37.61904761904763,26.037735849056602,37.58333333333333,29.629629629629637,34.634146341463406,37.859327217125376,12.422360248447202,37.76951672862454,33.320235756385074,40.476190476190474
Phi-3-medium-128k-instruct,43.529411764705884,33.33333333333334,18.207547169811313,32.1161825726141,30.0,30.3225806451613,33.63914373088684,16.913580246913575,31.4179104477612,32.98039215686275,34.523809523809526
Phi-3-mini-128k-instruct,36.470588235294116,32.14285714285714,21.619047619047613,29.87551867219917,24.000000000000004,26.12903225806452,26.78899082568808,13.086419753086425,29.925373134328357,28.000000000000007,31.66666666666666
Qwen1.5-72B-Chat-greedy,53.94957983193278,52.38095238095237,35.35545023696683,50.871369294605806,38.37037037037037,47.47967479674797,46.66666666666666,20.12422360248447,46.02230483271376,42.322834645669296,53.33333333333334
Qwen1.5-7B-Chat,45.042016806722685,43.0952380952381,14.88151658767773,38.672199170124486,24.444444444444446,31.61290322580646,31.43730886850152,-2.3456790123456805,35.3903345724907,27.08414872798434,41.19047619047619
Qwen2-72B-Instruct,54.45378151260505,54.04761904761905,39.81132075471699,48.13278008298756,46.66666666666666,46.7741935483871,48.13455657492355,34.69135802469136,47.06319702602231,46.849315068493155,53.33333333333334
SELM-Llama-3-8B-Instruct-iter-3,53.781512605042025,52.61904761904763,27.333333333333325,51.78423236514522,34.96296296296297,47.903225806451616,43.9877300613497,11.677018633540381,47.265917602996254,36.96850393700787,50.23809523809524
SELM-Zephyr-7B-iter-3,50.7563025210084,46.19047619047619,11.037735849056602,46.307053941908705,24.626865671641784,36.7741935483871,39.143730886850165,0.0,35.76208178438662,30.745098039215684,44.76190476190476
Starling-LM-7B-beta,50.924369747899156,46.19047619047619,24.36018957345972,43.41666666666667,29.481481481481477,40.32520325203252,39.69418960244647,3.3333333333333393,39.033457249070636,32.72015655577299,43.33333333333334
Starling-LM-7B-beta-ExPO,52.941176470588246,50.23809523809524,25.308056872037916,44.149377593360995,30.07407407407408,38.69918699186991,40.36697247706422,5.67901234567902,42.156133828996275,33.88235294117648,44.04761904761905
Yi-1.5-34B-Chat,56.63865546218487,53.80952380952381,42.08530805687204,53.609958506224075,46.01503759398497,50.24390243902438,48.62385321100918,32.25,49.29368029739777,47.637795275590555,55.95238095238095
Yi-1.5-6B-Chat,41.84873949579831,32.14285714285714,16.587677725118475,29.045643153526974,24.96240601503759,29.918699186991873,29.202453987730053,8.571428571428577,29.477611940298516,27.165354330708666,30.0
Yi-1.5-9B-Chat,52.2689075630252,45.71428571428571,34.97630331753555,44.315352697095435,39.3984962406015,41.6260162601626,40.183486238532105,25.124999999999993,43.04832713754648,42.16535433070867,48.0952380952381
claude-3-5-sonnet-20240620,56.97478991596638,57.61904761904763,56.509433962264154,55.518672199170126,51.99999999999999,57.74193548387096,55.65749235474007,45.4320987654321,55.68773234200744,54.951076320939336,52.61904761904763
claude-3-haiku-20240307,47.7310924369748,41.66666666666666,36.9811320754717,42.9045643153527,39.40740740740742,42.41935483870968,44.64831804281346,22.716049382716044,43.64312267657992,40.90019569471623,43.57142857142858
claude-3-opus-20240229,56.63865546218487,54.04761904761905,53.301886792452834,51.95020746887966,49.62962962962963,53.70967741935484,53.027522935779814,41.60493827160494,53.68029739776952,52.133072407045006,50.71428571428571
claude-3-sonnet-20240229,49.075630252100844,50.23809523809524,46.09523809523809,45.06224066390041,46.567164179104466,47.41935483870968,46.972477064220186,34.19753086419753,50.149253731343286,45.79256360078277,45.95238095238095
command-r,52.941176470588246,52.38095238095237,19.33962264150944,48.38174273858922,26.81481481481482,42.58064516129032,41.957186544342505,1.481481481481488,41.18959107806692,32.44618395303327,48.33333333333334
command-r-plus,53.94957983193278,55.95238095238095,28.436018957345972,52.94605809128632,34.518518518518526,49.677419354838705,48.19571865443425,10.864197530864192,48.17843866171003,39.80353634577604,52.14285714285714
dbrx-instruct,45.882352941176464,42.38095238095237,26.445497630331758,40.995850622406635,33.777777777777786,39.35483870967742,40.0,13.580246913580254,40.66914498141264,35.05882352941177,41.9047619047619
deepseek-coder-v2,57.310924369747895,57.61904761904763,44.85714285714286,54.75,48.88888888888889,49.75609756097562,50.338461538461544,34.03726708074535,51.76029962546817,48.58267716535433,57.59036144578314
deepseek-v2-chat-0628,58.31932773109244,58.57142857142858,55.0,57.59336099585063,52.592592592592595,51.935483870967744,51.62079510703364,48.39506172839506,55.61338289962825,54.44227005870842,55.95238095238095
deepseek-v2-coder-0628,45.54621848739495,49.28571428571429,48.86792452830189,37.42738589211618,47.1111111111111,41.12903225806452,38.89908256880734,44.19753086419753,44.46096654275094,48.258317025440306,44.523809523809526
deepseekv2-chat,57.288135593220346,55.71428571428571,44.43396226415095,53.692946058091295,48.74074074074073,49.677419354838705,50.76452599388379,39.62962962962963,50.223880597014926,50.90196078431372,55.71428571428571
gemini-1.5-flash,53.39130434782609,52.75,48.72549019607844,51.210762331838566,50.6766917293233,50.67796610169491,47.261146496815286,40.50000000000001,52.09302325581396,50.71999999999999,52.10526315789474
gemini-1.5-pro,56.28318584070797,56.58536585365853,55.223880597014926,56.0,50.8955223880597,52.41379310344827,51.069182389937104,44.25000000000001,55.44401544401545,52.82868525896415,55.58441558441558
gemma-2-27b-it,54.6218487394958,54.28571428571429,47.01421800947868,53.443983402489636,48.57142857142858,49.91869918699187,49.23547400611621,38.88198757763975,50.92936802973977,51.080550098231825,52.38095238095237
gemma-2-2b-it,48.57142857142858,48.80952380952381,17.904761904761912,43.983402489626556,28.14814814814815,39.677419354838705,37.9816513761468,2.5925925925925952,39.405204460966544,32.054794520547944,43.0952380952381
gemma-2-9b-it,53.44537815126051,51.66666666666666,36.66666666666666,51.53526970954356,42.66666666666667,44.516129032258064,47.52293577981652,28.641975308641978,48.656716417910445,46.168958742632604,53.33333333333334
gemma-2-9b-it-DPO,62.85714285714285,63.33333333333332,50.52132701421801,59.41908713692946,53.98496240601503,53.33333333333334,56.94189602446484,40.62111801242237,58.81040892193308,54.106090373280935,57.61904761904763
gemma-2-9b-it-SimPO,62.35294117647058,62.14285714285715,50.857142857142854,58.755186721991706,55.90909090909092,52.357723577235774,55.10703363914374,42.60869565217391,59.47955390334572,54.33070866141732,57.38095238095237
gemma-2b-it,10.0,1.904761904761898,-17.725118483412317,7.7500000000000036,-9.037037037037035,8.943089430894311,-5.688073394495419,-31.304347826086953,2.611940298507456,-6.9941060903732755,4.285714285714288
gemma-7b-it,22.35294117647058,22.142857142857135,1.8009478672985857,22.40663900414937,4.592592592592588,19.349593495934965,9.785932721712545,-16.049382716049383,18.43866171003718,8.29745596868884,16.190476190476186
glm-4-9b-chat,54.45378151260505,50.0,35.37735849056604,46.721991701244804,39.55223880597014,44.677419354838705,44.220183486238525,20.0,46.69144981412639,40.90196078431372,46.42857142857142
gpt-3.5-turbo-0125,46.05042016806722,41.66666666666666,26.54028436018958,36.51452282157676,30.370370370370363,37.096774193548384,34.067278287461775,13.456790123456788,33.234200743494426,33.776908023483365,37.38095238095237
gpt-4-0125-preview,57.98319327731093,61.42857142857142,52.924528301886795,58.25726141078839,51.99999999999999,55.483870967741936,53.455657492354746,39.50617283950617,55.53903345724906,52.837573385518596,55.23809523809524
gpt-4-turbo-2024-04-09,61.84873949579831,59.28571428571429,55.071090047393355,59.25311203319502,55.82089552238806,55.96774193548388,55.90214067278288,46.2962962962963,56.6542750929368,56.360078277886494,60.95238095238095
gpt-4o-2024-05-13,61.84873949579831,62.38095238095237,60.473933649289116,58.921161825726145,58.656716417910445,55.96774193548388,57.92048929663608,55.18518518518519,61.41263940520446,59.96078431372549,56.9047619047619
gpt-4o-mini-2024-07-18,61.008403361344534,61.190476190476204,57.16981132075471,60.08298755186722,56.74074074074074,58.064516129032256,56.63608562691131,50.37037037037037,58.51301115241636,57.92563600782779,61.66666666666668
mistral-large-2402,52.43697478991596,50.476190476190474,33.74407582938389,49.95850622406639,38.50746268656715,47.25806451612904,44.587155963302756,22.484472049689437,43.13432835820896,41.611001964636536,49.28571428571429
nemotron-4-340b-instruct,55.42372881355932,50.0,46.25592417061611,52.53112033195022,46.21212121212121,51.05691056910569,52.23241590214067,34.53416149068323,48.95522388059702,49.05511811023622,55.0
neo_7b_instruct_v0.1,48.06722689075631,39.76190476190476,14.02843601895734,37.75933609958507,24.592592592592588,38.3739837398374,33.455657492354746,3.3333333333333393,35.01858736059481,31.545988258317017,41.19047619047619
neo_7b_instruct_v0.1-ExPO,45.71428571428571,39.523809523809526,12.76190476190477,38.755186721991706,22.08955223880597,37.23577235772357,32.354740061162076,0.6172839506172778,32.713754646840144,28.101761252446185,39.04761904761905
reka-core-20240501,55.43859649122807,58.71794871794872,40.60301507537689,54.75555555555555,44.6875,51.71171171171171,51.28712871287128,35.4054054054054,49.63562753036438,47.52556237218813,58.73417721518987
reka-edge,41.565217391304344,40.50000000000001,13.526570048309186,36.99999999999999,19.08396946564885,31.33333333333333,33.247588424437296,-3.184713375796182,27.816091954022983,23.77281947261663,35.85365853658537
reka-flash-20240226,49.57983193277311,43.57142857142858,22.085308056872037,42.41666666666667,31.641791044776113,38.3739837398374,39.57186544342507,10.186335403726705,35.73033707865168,35.32416502946955,46.66666666666666
tulu-2-dpo-70b,45.54621848739495,45.23809523809524,20.663507109004744,43.65145228215768,24.444444444444446,40.655737704918025,39.63302752293578,4.0740740740740655,36.80297397769516,30.745098039215684,40.476190476190474
yi-large,57.310924369747895,56.62650602409638,47.71428571428572,51.21338912133892,48.44444444444445,46.55737704918033,48.95705521472392,39.75155279503106,52.255639097744364,51.25490196078431,55.0
yi-large-preview,61.5126050420168,60.476190476190474,54.28571428571429,57.38396624472573,56.0,55.37190082644628,56.75840978593271,46.75000000000001,57.388059701492544,56.65354330708661,58.57142857142858
