model,coding,instruction_following,language
Smaug-Qwen2-72B-Instruct,0.325,,
Starling-LM-7B-beta,0.203125,0.41185897435897434,0.08976574159435777
Yi-6B-Chat,0.015625,0.4631410256410256,0.043049716631055696
acm_rewrite_qwen2-72B-Chat,0.38636363636363635,0.7772435897435896,0.3002576201631839
amazon.nova-lite-v1:0,0.2734375,0.5710000000000001,0.28644500683390395
amazon.nova-micro-v1:0,0.2109375,0.41200000000000003,0.22009397514033135
amazon.nova-pro-v1:0,0.390625,0.7013333333333334,0.4109476366415538
azerogpt,0.3125,0.6104999999999999,0.28070030536220625
chatgpt-4o-latest-2025-01-29,0.59375,0.6611666666666666,0.4941302491716076
chatgpt-4o-latest-2025-01-30,0.4765625,0.6388333333333334,0.4824256145774935
chatgpt-4o-latest-2025-03-27,0.65625,0.7563596491228071,0.5138108917757516
claude-3-5-haiku-20241022,0.5078125,0.6576754385964912,0.39500934776644486
claude-3-5-opus-20240229,,,0.014154704944178614
claude-3-5-sonnet-20240620,0.6015625,0.7062499999999999,0.5217941447773491
claude-3-5-sonnet-20241022,0.65625,0.6916666666666667,0.563598532725614
claude-3-7-sonnet-20250219-base,0.65625,0.7788333333333333,0.6090266182353985
claude-3-7-sonnet-20250219-thinking-25k,0.71875,0.8315,0.6140836416186657
claude-3-7-sonnet-20250219-thinking-64k,0.7421875,0.8568333333333333,0.6291089997143069
claude-3-haiku-20240307,0.25,0.5570175438596492,0.2661653557095466
claude-3-opus-20240229,0.3828125,0.6509868421052631,0.5273302947210116
claude-3-sonnet-20240229,0.2734375,0.6362179487179488,0.38369023555846277
codegen3_5k-qwen2.5-72b-instruct-2-chk-50,0.5546875,0.9214743589743589,0.3731523773303377
coding-meta-llama-3.1-70b-instruct-chk-50,0.359375,0.8685897435897435,0.41847730904884234
coding2-amcfull-apifull-mmlu12k-meta-llama-3.1-70b-instruct-chk-150,0.359375,0.8397435897435896,0.41621263984786083
command-a-03-2025,,,0.36696211821824287
command-r-03-2024,0.1640625,0.5769230769230769,0.12915588659912172
command-r-08-2024,0.1875,0.6286184210526315,0.226138148380148
command-r-plus-04-2024,0.21875,0.6359649122807017,0.20090934796062312
command-r-plus-08-2024,0.20703125,0.599780701754386,0.3110304257935153
deepseek-chat,0.4438202247191011,0.6515350877192982,0.30161682071968626
deepseek-coder,0.4140625,0.7580128205128205,0.3316863346032601
deepseek-r1,0.703125,0.8059999999999999,0.49356528781596753
deepseek-r1-distill-llama-70b,0.5546875,0.7021666666666667,0.29450054613298327
deepseek-r1-distill-qwen-32b,0.3984375,0.6961666666666666,0.29876323339187333
deepseek-r1-local,0.8787878787878788,,0.4653645709471665
deepseek-r1-local-2,0.7109375,0.8571666666666666,0.5041353884372185
deepseek-v3,0.6171875,0.7551666666666667,0.4656432815894652
deepseek-v3-0324,0.7109375,0.8678333333333333,0.4868762615307992
dracarys2-72b-instruct,0.578125,0.636,0.3470008638145451
dracarys2-llama-3.1-70b-instruct,0.359375,0.6671666666666667,0.42757366358171295
gemini-1.5-flash-001,0.34375,0.6072368421052632,0.2785257446102188
gemini-1.5-flash-002,0.4140625,0.8277412280701754,0.2790736164801704
gemini-1.5-flash-8b-001,,,0.22867841090078675
gemini-1.5-flash-8b-exp-0827,0.2890625,0.7581140350877194,0.20916431802817098
gemini-1.5-flash-8b-exp-0924,0.296875,0.7343333333333334,0.18742256626807619
gemini-1.5-flash-exp-0827,0.3953488372093023,0.7798245614035088,0.2957111631453015
gemini-1.5-pro-001,0.328125,0.6698464912280702,0.3472049041230525
gemini-1.5-pro-002,0.4765625,0.7629385964912281,0.4312109649926111
gemini-1.5-pro-exp-0801,0.40310077519379844,0.782051282051282,0.47320506985473115
gemini-1.5-pro-exp-0827,0.4015151515151515,0.731469298245614,0.4532917702348706
gemini-2.0-flash,,,0.5208072318735761
gemini-2.0-flash-001,0.5390625,0.8553333333333333,0.4516821335690235
gemini-2.0-flash-exp,0.53125,0.805,0.4303676593664119
gemini-2.0-flash-lite-001,0.46875,0.7845,0.3556679179150522
gemini-2.0-flash-lite-preview-02-05,0.4375,0.8420000000000001,0.38107153854117
gemini-2.0-flash-thinking-exp-01-21,0.546875,0.8168333333333334,0.4463483833148636
gemini-2.0-flash-thinking-exp-1219,0.546875,0.7591666666666668,0.4356456458409252
gemini-2.0-pro-exp-02-05,0.625,0.8275,0.5109692581370475
gemini-2.5-pro-exp-03-25,0.8671875,0.8095,0.6592561350224725
gemini-exp-1114,0.5076923076923077,0.818640350877193,0.4099619335607232
gemini-exp-1121,0.49230769230769234,0.8461622807017545,0.3883822356584429
gemini-exp-1206,0.6328125,0.8320000000000001,0.5519201791150496
gemma-1.1-7b-it,0.1171875,0.5336538461538461,0.10495367548114178
gemma-2-27b-it,0.359375,0.6881578947368421,0.34041927082637086
gemma-2-9b-it,0.234375,0.5662280701754385,0.2505468781177105
gemma-3-12b-it,,,0.31269656186617634
gemma-3-27b-it,0.3984375,0.715,0.40394691181189124
gemma-3-4b-it,,,0.1505925822197743
gpt-3.5-turbo-0125,0.28125,0.7451923076923077,0.24709282148650924
gpt-3.5-turbo-1106,0.2734375,0.5128205128205129,0.29241744210769177
gpt-4-0125-preview,0.421875,0.6470394736842104,0.40033652192499425
gpt-4-0613,0.3671875,0.717948717948718,0.4985597115178286
gpt-4-1106-preview,0.4609375,0.7708333333333334,0.4857621350359472
gpt-4-turbo-2024-04-09,0.4921875,0.6835526315789474,0.4448125414177384
gpt-4.5-preview-2025-02-27,0.75,0.7233333333333333,0.6200216399367221
gpt-4o-2024-05-13,0.5,0.6958333333333333,0.512048206103748
gpt-4o-2024-08-06,0.5,0.7289473684210526,0.5017105456088697
gpt-4o-2024-11-20,0.4609375,0.7012061403508771,0.4901941171292318
gpt-4o-mini-2024-07-18,0.4296875,0.6580043859649123,0.3289693930538648
grok-2,0.3671875,0.7366666666666667,0.35002587603085256
grok-2-1212,0.46875,0.6785,0.483276566746156
grok-2-mini,0.3828125,0.8066666666666668,0.39416802064074374
grok-3,0.5390625,,0.5143813637440003
grok-3-beta,0.5234375,0.7491111111111111,0.5591857894215053
grok-3-mini-reasoning-beta,0.5859375,0.6236666666666667,0.3750618429578738
grok-beta,0.4453125,0.7046666666666667,0.4699335880257399
hermes-3-llama-3.1-70b,0.3125,0.515,0.44233396605204534
hunyuan-turbos-20250313,0.484375,0.8320000000000001,0.477242287759912
lcb-math-qwen2-72b-instructv3-merged-50,0.3828125,0.8516666666666667,0.31073421357788306
learnlm-1.5-pro-experimental,0.453125,0.703,0.4115660511694703
llama-2-7b-chat-hf,0.0,,
llama-3.1-nemotron-70b-instruct,0.328125,0.6966666666666668,0.341661574008996
llama-3.3-70b-instruct-turbo,0.3671875,0.782,0.42632737203509513
llama-4-maverick-17b-128e-instruct,0.5111111111111111,0.7958333333333333,0.4721618835640245
mathstral-7B-v0.1,0.1640625,0.58,0.1541056643983203
meta-llama-3-70b-instruct,0.2,,
meta-llama-3-8b-instruct,0.2,,
meta-llama-3.1-405b-instruct-turbo,0.4140625,0.7681666666666667,0.4721987958875667
meta-llama-3.1-70b-instruct-turbo,0.34375,0.7276666666666667,0.40124528226312317
meta-llama-3.1-8b-instruct-turbo,0.203125,0.5705,0.2261138295418368
mistral-7b-instruct-v0.2,0.13333333333333333,,
mistral-large,,,0.018621874864373212
mistral-large-2402,0.28125,0.71,0.2837580696098924
mistral-large-2407,0.46875,0.6677777777777778,0.368077893078421
mistral-large-2411,0.46875,0.6988333333333334,0.42173416753055265
mistral-small-2402,0.21875,0.642,0.19219087818146674
mistral-small-2409,0.265625,0.46116666666666667,0.2778273989481635
mistral-small-2501,0.3515625,0.6506666666666666,0.35114178026694787
mistral-small-2503,0.3671875,0.6241666666666666,0.33771494838661564
mixtral-8x22b-instruct-v0.1,0.2,,
mixtral-8x7b-instruct-v0.1,0.13333333333333333,,
o1,0.6328125,,
o1-2024-12-17-high,0.6875,0.8290000000000001,0.6353903231124274
o1-2024-12-17-low,0.53125,0.8315,0.6113436672181228
o1-2024-12-17-medium,0.5546875,0.8086666666666666,0.6475460168276848
o1-mini-2024-09-12,0.515625,0.7056666666666667,0.4594788326185301
o1-preview-2024-09-12,0.5234375,0.8316666666666667,0.7735642370713193
o3-mini-2025-01-31-high,0.828125,0.825,0.4945881793979724
o3-mini-2025-01-31-low,0.6484375,0.7858333333333333,0.3944825963940835
o3-mini-2025-01-31-medium,0.6953125,0.7985,0.44979573857124094
olmo-2-1124-13b-instruct,0.109375,0.6678333333333333,0.10898162464571522
open-mistral-nemo,0.2890625,0.6233333333333334,0.13973375388775403
open-mixtral-8x22b,0.3,0.5168333333333333,0.24587630870922111
open-mixtral-8x7b,0.15,,
perplexity-sonar-reasoning,0.02631578947368421,,
phi-3-medium-4k-instruct,,0.3953333333333333,
phi-3-mini-128k-instruct,0.13333333333333333,0.40700000000000003,0.06166666666666666
phi-3-mini-4k-instruct,0.2,0.3426666666666667,0.045
phi-3-small-8k-instruct,,0.44166666666666665,
phi-4,0.3125,0.5479999999999999,0.293336922809778
qwen1.5-0.5b-chat,0.0,,
qwen1.5-1.8b-chat,0.0,,
qwen1.5-110b-chat,0.2,,
qwen1.5-4b-chat,0.06666666666666667,,
qwen1.5-72b-chat,0.2,,
qwen1.5-7b-chat,0.13333333333333333,,
qwen2-72b-instruct,0.0,,
qwen2-math-72b-instruct,0.4140625,0.5433333333333333,0.2044013346433975
qwen2.5-72b-instruct-turbo,0.3333333333333333,,0.39781808159317983
qwen2.5-7b-instruct-turbo,0.3333333333333333,,0.20820694745682938
qwen2.5-coder-32b-instruct,,,0.369923210946011
qwen2.5-max,0.640625,0.7663333333333334,0.5842382121736585
qwq-32b,0.7578125,0.853,0.476855029491361
qwq-32b-preview,0.4140625,0.3678333333333333,0.20508072716891265
reflection-llama-3.1-70b,0.2,,
sky-t1-32b-preview,0.546875,0.5253333333333333,0.20480559750825245
sonar,0.3671875,0.7931111111111111,0.43398403811460856
sonar-pro,0.6015625,0.6101666666666666,0.6873014695544596
starling-lm-7b-beta,0.26666666666666666,,
step-2-16k-202411,0.45703125,0.8771111111111111,0.4427987384437781
vicuna-7b-v1.5,0.0234375,0.5816666666666667,0.08494279765660356
vicuna-7b-v1.5-16k,0.0234375,0.6333333333333333,0.07713939962738652
wbot-4:347b_no_s,0.6328125,0.7189999999999999,0.3251887332816243
yi-6b-chat,0.0,,
zephyr-7b-alpha,0.140625,0.5633333333333334,0.06882895714787628
zephyr-7b-beta,0.09375,0.5883333333333334,0.03815469902789607
